,Anomaly Detection,Defect Classification,Defect Localization,Defect Description,Defect Analysis,Object Classification,Object Analysis,Average
DS-MVTec,65.15594029012964,64.97925311203319,63.872590108968986,76.6694146743611,90.04149377593362,93.96551724137932,88.8807607900512,77.65213857040816
MVTec-LOCO,52.203579772560936,26.272912423625254,45.723014256619145,55.95482546201232,75.26205450733752,85.29411764705883,80.65311152187307,60.194802227298155
VisA,62.222075675790514,55.21008403361345,54.218880534670014,73.69747899159664,74.54858125537403,79.25133689839572,77.65502494654312,68.11478033371192
GoodsAD,53.106261224241315,48.36003051106026,50.863213811420984,72.84321080270068,81.57534246575342,88.60445912469034,81.7938817938818,68.16377139053553
Average,58.171964240680595,48.705570020083044,53.669424677919785,69.7912324826677,80.35686800109964,86.77885772788105,82.24569476308729,68.53137313048845
