,Anomaly Detection,Object Classification,Object Analysis,Defect Classification,Defect Localization,Defect Description,Defect Analysis,Average
VisA,67.25,73.41772151898735,78.48101265822784,54.0,57.99999999999999,81.0,85.1063829787234,71.03644530799123
DS-MVTec,75.00936680404646,91.17647058823529,88.94472361809045,68.0,66.01307189542483,81.29032258064515,89.6774193548387,80.01591069161155
Average,71.12968340202323,82.29709605361131,83.71286813815914,61.0,62.00653594771241,81.14516129032258,87.39190116678105,75.52617799980139
