,Anomaly Detection,Defect Classification,Defect Localization,Defect Description,Defect Analysis,Object Classification,Object Analysis,Average
DS-MVTec,61.58606535810135,68.04979253112033,71.9195305951383,70.56883759274525,88.96265560165975,98.92241379310344,91.80687637161668,78.83088169192645
MVTec-LOCO,50.35282258064516,29.633401221995925,37.67820773930753,50.308008213552355,64.36058700209644,90.99264705882352,80.40665434380776,57.67604688003268
VisA,56.37413540064122,47.310924369747895,54.63659147869674,58.31932773109244,70.4213241616509,86.31016042780749,82.43050605844618,65.11470994686898
GoodsAD,53.09203237702918,54.46224256292906,53.12084993359893,49.512378094523626,69.04109589041096,92.07266721717589,82.5957825957826,64.84243552449288
Average,55.35126392910423,49.86409017144831,54.338794936685375,57.17713790797842,73.1964156639545,92.07447212422758,84.3099548424133,66.61601851083024
